istat,comune,lng,lat
22047,Castello-Molina di Fiemme,11.43470654,46.28124969
22048,Castello Tesino,11.63370534,46.06241572
22049,Castelnuovo,11.49419964,46.05226247
22050,Cavalese,11.46043364,46.29129819
22051,Cavareno,11.13660275,46.4079151
22052,Cavedago,11.02805643,46.18352917
22053,Cavedine,10.97082265,45.99391529
22054,Cavizzana,10.95837224,46.36818861
22058,Cimone,11.06846607,45.97819064
22059,Cinte Tesino,11.61619434,46.0543692
22060,Cis,11.00233845,46.40005451
22061,Civezzano,11.17963203,46.09005862
22062,Cles,11.03564375,46.36440465
22064,Commezzadura,10.83926199,46.32122317
22068,Croviana,10.90454728,46.34463628
22071,Dambel,11.09302262,46.40491482
22074,Denno,11.05132614,46.27435425
22078,Drena,10.9445963,45.9711691
22079,Dro,10.9118157,45.96254924
22081,Fai della Paganella,11.0695608,46.17838429
22083,Fiavè,10.84202477,46.0048069
22085,Fierozzo,11.31823589,46.11178063
22087,Folgaria,11.17014101,45.91663324
22089,Fornace,11.20580077,46.11723367
22090,Frassilongo,11.29212297,46.08565885
22091,Garniga Terme,11.08588791,46.00482982
22092,Giovo,11.1516807,46.15682949
22093,Giustino,10.76847784,46.14878032
22095,Grigno,11.63561779,46.01717508
22097,Imer,11.79680143,46.15109445
22098,Isera,11.0083521,45.8870757
22102,Lavarone,11.26970396,45.93938938
22103,Lavis,11.11173415,46.13971519
22104,Levico Terme,11.30232766,46.01101281
22106,Livo,11.01916869,46.40554978
22108,Lona-Lases,11.21882443,46.14679565
22109,Luserna,11.32439104,45.92193218
22110,Malè,10.91248259,46.35269834
22112,Massimeno,10.77300566,46.142305
22113,Mazzin,11.72840998,46.47036363
22114,Mezzana,10.80277007,46.31580915
22115,Mezzano,11.80595311,46.15452726
22116,Mezzocorona,11.11849988,46.21649042
22117,Mezzolombardo,11.09051799,46.21351447
22118,Moena,11.66021931,46.37660648
22120,Molveno,10.9662535,46.14288959
22123,Mori,10.97549449,45.85195052
22124,Nago-Torbole,10.87605352,45.87057555
22127,Nogaredo,11.02309066,45.91201029
22128,Nomi,11.07125718,45.92895668
22129,Novaledo,11.36579931,46.02257583
22130,Ospedaletto,11.552903,46.04363279
22131,Ossana,10.73804321,46.30627677
22133,Palù del Fersina,11.3521341,46.1299084
22134,Panchià,11.5422322,46.28567937
22135,Ronzo-Chienis,10.94990671,45.89079928
22136,Peio,10.68907789,46.35528769
22137,Pellizzano,10.7605651,46.30938639
22138,Pelugo,10.72334177,46.08811132
22139,Pergine Valsugana,11.24049381,46.0603175
22142,Pieve Tesino,11.61057369,46.06901125
22143,Pinzolo,10.76660594,46.16001113
22144,Pomarolo,11.04305509,45.92679872
22147,Predazzo,11.60278164,46.31256391
22150,Rabbi,10.85065549,46.39825276
22153,Riva del Garda,10.83888821,45.88504406
22155,Romeno,11.12018975,46.39439766
22156,Roncegno Terme,11.40968867,46.05098573
22157,Ronchi Valsugana,11.43429735,46.06713704
22159,Ronzone,11.14999907,46.42333978
22160,Roverè della Luna,11.16960836,46.24998794
22161,Rovereto,11.04517514,45.88648404
22162,Ruffrè-Mendola,11.17746883,46.41450529
22163,Rumo,11.01732679,46.44106943
22164,Sagron Mis,11.94327632,46.19492556
22165,Samone,11.52037588,46.08187379
22167,San Michele all'Adige,11.13405098,46.1926646
22168,Sant'Orsola Terme,11.3025579,46.1082001
22169,Sanzeno,11.06805927,46.37441809
22170,Sarnonico,11.14140892,46.42004432
22171,Scurelle,11.50758651,46.06448377
22172,Segonzano,11.2587658,46.19036068
22173,Sfruz,11.11547195,46.33716824
22176,Soraga di Fassa,11.66881239,46.39603664
22177,Sover,11.31532726,46.22118281
22179,Spiazzo,10.73679917,46.10284998
22180,Spormaggiore,11.04822748,46.21857725
22181,Sporminore,11.03119056,46.23711782
22182,Stenico,10.85359956,46.05301338
22183,Storo,10.58018609,45.84927357
22184,Strembo,10.75161495,46.12001215
22188,Telve,11.47888916,46.07144614
22189,Telve di Sopra,11.47255576,46.07231279
22190,Tenna,11.2662951,46.0145839
22191,Tenno,10.83264413,45.91860092
22193,Terragnolo,11.1530395,45.878702
22195,Terzolas,10.92611911,46.3613707
22196,Tesero,11.51118835,46.28933907
22199,Tione di Trento,10.72326426,46.03171404
22200,Ton,11.08570405,46.26589858
22202,Torcegno,11.45001604,46.0732826
22203,Trambileno,11.07340897,45.86969867
22205,Trento,11.12123097,46.06893511
22209,Valfloriana,11.34214006,46.24896578
22210,Vallarsa,11.11763173,45.78259232
22213,Vermiglio,10.69285089,46.29882667
22216,Vignola-Falesina,11.27816706,46.04391844
22222,Villa Lagarina,11.03184685,45.91604151
22224,Volano,11.06079067,45.91719314
22226,Ziano di Fiemme,11.56112305,46.28646875
22228,Comano Terme,10.8688522,46.03166101
22229,Ledro,10.73311322,45.88870857
22230,Predaia,11.0731,46.3234
22231,San Lorenzo Dorsino,10.9095,46.0775
22232,Valdaone,10.6221,45.9481
22233,Dimaro Folgarida,10.8718,46.3271
22234,Pieve di Bono-Prezzo,10.6413,45.9431
22235,Altavalle,11.2383,46.1822
22236,Altopiano della Vigolana,11.1997,46.0065
22237,Amblar-Don,11.1375,46.3902
22238,Borgo Chiese,10.6013,45.8906
22239,Borgo Lares,10.7521,46.0352
22240,Castel Ivano,11.5211,46.0683
22241,Cembra Lisignago,11.2218,46.1746
22242,Contà,11.0241,46.3108
22243,Madruzzo,10.9841,46.026
22244,Porte di Rendena,10.7121,46.0626
22245,Primiero San Martino di Castrozza,11.8298,46.1771
22246,Sella Giudicarie,10.6692,45.9836
22247,Tre Ville,10.7783,46.0545
22248,Vallelaghi,11.0005,46.08
22249,Ville d'Anaunia,11.024,46.3298
22250,San Giovanni di Fassa,11.68654422,46.43070096
22251,Terre d'Adige,11.09603972,46.15125132
22252,Borgo d'Anaunia,11.13606457,46.44012582
22253,Novella,11.05782178,46.39103316
22254,Ville di Fiemme,11.44788293,46.30067015
